id,estado,nombres,apellidos,identificacion,lugar_expedicion,telefono,celular,correo,tarjeta_profesional,tipo_documento_id_id
48,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
49,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
50,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
51,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
52,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
53,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
54,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
55,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
56,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
57,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
58,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
59,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
60,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
61,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
62,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
63,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
64,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
65,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
66,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
67,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
68,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
69,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
70,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
71,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
72,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
73,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
74,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
75,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
76,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
77,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
78,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
79,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
80,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
81,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
82,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
83,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
84,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
85,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
86,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
87,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
88,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
89,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
90,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
91,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
92,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
93,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
94,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
95,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
96,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
97,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
98,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
99,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
100,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
101,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
102,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
103,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
104,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
105,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
106,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
107,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
108,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
109,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
110,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
111,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
112,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
113,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
114,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
115,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
116,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
117,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
118,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
119,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
120,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
121,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
122,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
123,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
124,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
125,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
126,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
127,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
128,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
129,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
130,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
131,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
132,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
133,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
134,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
135,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
136,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
137,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
138,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
139,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
140,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
141,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
142,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
143,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
144,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
145,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
146,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
147,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
148,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
149,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
150,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
151,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
152,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
153,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
154,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
155,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
156,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
157,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
158,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
159,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
160,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
161,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
162,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
163,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
164,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
165,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
166,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
167,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
168,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
169,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
170,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
171,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
172,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
173,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
174,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
175,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
176,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
177,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
178,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
179,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
180,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
181,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
182,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
183,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
184,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
185,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
186,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
187,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
188,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
189,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
190,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
191,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
192,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
193,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
194,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
195,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
196,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
197,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
198,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
199,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
200,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
201,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
202,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
203,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
204,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
205,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
206,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
207,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
208,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
209,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
210,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
211,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
212,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
213,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
214,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
215,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
216,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
217,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
218,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
219,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
220,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
221,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
222,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
223,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
224,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
225,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
226,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
227,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
228,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
229,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
230,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
231,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
232,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
233,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
234,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
235,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
236,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
237,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
238,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
239,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
240,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432,1
241,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
242,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
243,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
244,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
245,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
246,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
247,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
248,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
249,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
250,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
251,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
252,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
253,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
254,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
255,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
256,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
257,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
258,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
259,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
260,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
261,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
262,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
263,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
264,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
265,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
266,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
267,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
268,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
269,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
270,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
271,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
272,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
273,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
274,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
275,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
276,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
277,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
278,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
279,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
280,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
281,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
282,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
283,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
284,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
285,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
286,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
287,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
288,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
289,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
290,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
291,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
292,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
293,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
294,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
295,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
296,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
297,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
298,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
299,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
300,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
301,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
302,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
303,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
304,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
305,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
306,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
307,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
308,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
309,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
310,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
311,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
312,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
313,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
314,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
315,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
316,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
317,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
318,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
319,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
320,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
321,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
322,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
323,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
324,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
325,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
326,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
327,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
328,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
329,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
330,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
331,1,roberto,pruebas,12345,bogota,,23112879,ka@igc.edu.co,432432h,1
